statusID,status,equipment,timestamp,user,seconds_since_last
769506,'ACTIVE',10457770,'2018-01-02 16:50:42','',720706
769507,'ACTIVE',10457810,'2018-01-02 16:50:42','',720705
769508,'ACTIVE',10457932,'2018-01-02 16:50:43','',720706
769509,'ACTIVE',10457933,'2018-01-02 16:50:44','',720706
769510,'ACTIVE',10457999,'2018-01-02 16:50:44','',720705
769511,'ACTIVE',10458000,'2018-01-02 16:50:45','',720705
769512,'ACTIVE',10458218,'2018-01-02 16:50:46','',720706
769513,'ACTIVE',10458219,'2018-01-02 16:50:46','',720705
769514,'ACTIVE',10458220,'2018-01-02 16:50:47','',720705
769506,'ACTIVE',10457770,'2018-01-02 16:50:42','',720706
769507,'ACTIVE',10457810,'2018-01-02 16:50:42','',720705
769508,'ACTIVE',10457932,'2018-01-02 16:50:43','',720706
769509,'ACTIVE',10457933,'2018-01-02 16:50:44','',720706
769510,'ACTIVE',10457999,'2018-01-02 16:50:44','',720705
769511,'ACTIVE',10458000,'2018-01-02 16:50:45','',720705
769512,'ACTIVE',10458218,'2018-01-02 16:50:46','',720706
769513,'ACTIVE',10458219,'2018-01-02 16:50:46','',720705
769514,'ACTIVE',10458220,'2018-01-02 16:50:47','',720705
